Cycle,WarpID,RemainingInst,BlockedThreads,WarpStalled,Diverged,ActiveThreads,Efficiency
0,0,305,3,0,1,12,0.46875
1,0,293,7,0,1,8,0.375
2,0,285,11,0,1,4,0.25
3,0,281,11,0,1,4,0.125
4,0,277,12,0,1,3,0.125
5,0,274,13,0,1,2,0.09375
6,0,271,13,0,1,2,0.09375
7,0,268,12,0,1,3,0.09375
8,0,265,13,0,1,2,0.09375
9,0,262,14,0,1,17,0.09375
10,0,245,15,0,1,14,0.53125
11,0,231,19,0,1,9,0.4375
12,0,222,22,0,1,5,0.28125
13,0,217,21,0,1,5,0.15625
14,0,212,21,0,1,4,0.15625
15,0,207,22,0,1,3,0.15625
16,0,203,19,0,1,3,0.125
17,0,200,20,0,1,2,0.09375
18,0,196,18,0,1,3,0.125
19,0,190,14,0,1,2,0.1875
20,0,187,14,0,1,2,0.09375
21,0,183,11,0,1,4,0.125
22,0,178,11,0,1,4,0.15625
23,0,172,11,0,1,4,0.1875
24,0,168,13,0,1,2,0.125
25,0,165,14,0,1,1,0.09375
26,0,163,14,0,1,1,0.0625
27,0,161,13,0,1,2,0.0625
28,0,157,12,0,1,3,0.125
29,0,154,13,0,1,2,0.09375
30,0,151,13,0,1,2,0.09375
31,0,147,12,0,1,2,0.125
32,0,144,13,0,1,1,0.09375
33,0,143,13,0,0,13,0.03125
34,0,136,14,0,1,4,0.21875
35,0,131,15,0,1,2,0.15625
36,0,129,16,0,1,1,0.0625
37,0,127,16,0,1,1,0.0625
38,0,125,14,0,1,2,0.0625
39,0,122,13,0,1,2,0.09375
40,0,119,14,0,1,1,0.09375
41,0,118,13,0,1,1,0.03125
42,0,116,13,0,1,1,0.0625
43,0,113,12,0,1,1,0.09375
44,0,111,10,0,1,1,0.0625
45,0,110,10,0,1,11,0.03125
46,0,98,9,0,1,10,0.375
47,0,88,11,0,1,7,0.3125
48,0,81,12,0,1,5,0.21875
49,0,76,14,0,1,2,0.15625
50,0,74,15,0,0,5,0.0625
51,0,68,17,0,0,3,0.1875
52,0,65,17,0,0,3,0.09375
53,0,61,16,0,0,3,0.125
54,0,56,16,0,0,2,0.15625
55,0,52,15,0,0,2,0.125
56,0,47,14,0,0,3,0.15625
57,0,43,15,0,0,2,0.125
58,0,40,13,0,0,3,0.09375
59,0,36,12,0,0,1,0.125
60,0,33,10,0,0,3,0.09375
61,0,29,10,0,0,2,0.125
62,0,27,11,0,0,1,0.0625
63,0,26,11,0,0,1,0.03125
64,0,25,11,1,0,0,0.03125
65,0,22,8,0,0,3,0.09375
66,0,17,8,0,0,1,0.15625
67,0,15,8,1,0,0,0.0625
68,0,12,6,0,0,2,0.09375
69,0,11,6,0,1,1,0.03125
70,0,10,6,0,1,1,0.03125
71,0,8,3,0,1,1,0.0625
72,0,7,4,0,0,1,0.03125
73,0,6,3,0,0,1,0.03125
74,0,5,3,0,0,1,0.03125
75,0,4,3,1,0,0,0.03125
76,1,288,11,0,0,21,1
77,1,267,17,0,0,15,0.65625
78,1,252,20,0,0,12,0.46875
79,1,240,23,0,0,9,0.375
80,1,231,26,0,0,6,0.28125
81,1,223,26,0,0,6,0.25
82,1,218,23,0,1,4,0.15625
83,1,213,24,0,1,3,0.15625
84,1,209,24,0,1,3,0.125
85,1,204,23,0,1,3,0.15625
86,1,201,22,0,1,2,0.09375
87,1,198,21,0,1,2,0.09375
88,1,194,18,0,1,3,0.125
89,1,190,17,0,1,3,0.125
90,1,184,14,0,1,5,0.1875
91,1,177,11,0,1,5,0.21875
92,1,172,12,0,1,4,0.15625
93,1,168,12,0,1,3,0.125
94,1,165,13,0,1,1,0.09375
95,1,163,11,0,1,2,0.0625
96,1,159,9,0,1,4,0.125
97,1,153,9,0,1,4,0.1875
98,1,148,9,0,1,3,0.15625
99,1,145,11,0,1,1,0.09375
100,1,144,12,0,1,17,0.03125
101,1,127,17,0,1,11,0.53125
102,1,116,18,0,1,9,0.34375
103,1,107,20,0,1,7,0.28125
104,1,100,22,0,1,3,0.21875
105,1,97,23,0,1,1,0.09375
106,1,95,22,0,1,2,0.0625
107,1,92,22,0,1,2,0.09375
108,1,89,22,0,1,1,0.09375
109,1,85,18,0,1,3,0.125
110,1,82,17,0,1,2,0.09375
111,1,78,15,0,1,3,0.125
112,1,75,14,0,1,1,0.09375
113,1,72,12,0,1,2,0.09375
114,1,69,11,0,1,1,0.09375
115,1,67,11,0,0,10,0.0625
116,1,55,11,0,0,10,0.375
117,1,45,16,0,0,3,0.3125
118,1,40,15,0,0,2,0.15625
119,1,37,17,1,0,0,0.09375
120,1,36,16,0,0,1,0.03125
121,1,33,15,0,0,1,0.09375
122,1,31,12,1,0,0,0.0625
123,1,29,10,0,0,2,0.0625
124,1,26,10,0,0,2,0.09375
125,1,23,10,0,0,2,0.09375
126,1,22,8,0,1,1,0.03125
127,1,21,7,0,1,4,0.03125
128,1,16,7,0,1,3,0.15625
129,1,12,6,0,1,3,0.125
130,1,8,6,0,1,2,0.125
131,1,6,6,0,1,1,0.0625
132,1,5,6,0,0,1,0.03125
133,1,4,6,1,0,0,0.03125
134,0,3,1,1,0,0,0.03125
135,2,304,6,0,1,10,0.5
136,2,294,8,0,1,8,0.3125
137,2,286,8,0,1,8,0.25
138,2,278,11,0,1,5,0.25
139,2,273,12,0,1,4,0.15625
140,2,269,13,0,1,3,0.125
141,2,266,13,0,1,3,0.09375
142,2,263,14,0,1,2,0.09375
143,2,258,12,0,1,4,0.15625
144,2,253,11,0,1,3,0.15625
145,2,248,13,0,1,1,0.15625
