Cycle,WarpID,RemainingInst,BlockedThreads,WarpStalled,Diverged,ActiveThreads,Efficiency
0,0,305,3,0,1,12,0.46875
1,1,288,11,0,0,21,1
2,2,288,8,0,0,24,1
3,3,288,9,0,0,23,1
4,0,293,6,0,1,9,0.375
5,1,277,14,0,1,8,0.34375
6,2,264,16,0,0,16,0.75
7,3,265,17,0,0,15,0.71875
8,0,282,8,0,1,7,0.34375
9,1,267,16,0,1,6,0.3125
10,2,245,18,0,0,14,0.59375
11,3,244,19,0,0,13,0.65625
12,0,274,8,0,1,7,0.25
13,1,257,14,0,1,7,0.3125
14,2,236,14,0,1,7,0.28125
15,3,227,19,0,0,13,0.53125
16,0,263,8,0,1,7,0.34375
17,1,245,13,0,1,6,0.375
18,2,227,12,0,1,5,0.28125
19,3,205,15,0,0,17,0.6875
20,0,253,6,0,1,9,0.3125
21,1,236,12,0,1,7,0.28125
22,2,220,7,0,1,5,0.21875
23,3,189,13,0,1,12,0.5
24,0,242,8,0,1,7,0.34375
25,1,227,15,0,1,4,0.28125
26,2,210,5,0,1,7,0.3125
27,3,174,12,0,1,10,0.46875
28,0,231,5,0,1,10,0.34375
29,1,217,11,0,1,8,0.3125
30,2,203,6,0,1,6,0.21875
31,3,162,12,0,1,8,0.375
32,0,219,7,0,1,8,0.375
33,1,202,10,0,1,9,0.46875
34,2,194,5,0,1,7,0.28125
35,3,152,11,0,1,9,0.3125
36,0,209,11,0,1,4,0.3125
37,1,192,12,0,1,7,0.3125
38,2,185,4,0,1,7,0.28125
39,3,137,11,0,1,8,0.46875
40,0,205,12,0,1,3,0.125
41,1,179,11,0,1,7,0.40625
42,2,177,5,0,1,5,0.25
43,3,127,12,0,1,7,0.3125
44,0,198,9,0,1,4,0.21875
45,1,169,13,0,1,5,0.3125
46,2,170,6,0,1,3,0.21875
47,3,114,9,0,1,7,0.40625
48,0,190,8,0,1,3,0.25
49,1,161,11,0,1,6,0.25
50,2,166,7,0,1,2,0.125
51,3,103,10,0,1,4,0.34375
52,0,184,8,0,1,17,0.1875
53,1,150,8,0,1,9,0.34375
54,2,162,7,0,1,1,0.125
55,3,97,8,0,1,5,0.1875
56,0,167,10,0,1,13,0.53125
57,1,137,7,0,1,5,0.40625
58,2,160,4,0,1,1,0.0625
59,3,90,6,0,1,4,0.21875
60,0,154,12,0,1,6,0.40625
61,1,131,7,0,1,1,0.1875
62,2,158,2,0,1,1,0.0625
63,3,85,5,0,1,1,0.15625
64,0,145,10,0,1,7,0.28125
65,1,128,4,0,1,2,0.09375
66,2,155,1,0,1,2,0.09375
67,3,82,4,0,1,12,0.09375
68,0,135,8,0,1,9,0.3125
69,1,126,5,0,1,13,0.0625
70,2,153,1,0,1,1,0.0625
71,3,70,10,0,1,6,0.375
72,0,124,9,0,1,8,0.34375
73,1,113,10,0,1,6,0.40625
74,2,152,1,0,1,20,0.03125
75,3,64,12,0,1,2,0.1875
76,0,111,8,0,1,9,0.40625
77,1,107,12,0,1,3,0.1875
78,2,132,6,0,1,15,0.625
79,3,60,10,0,1,3,0.125
80,0,101,13,0,1,4,0.3125
81,1,101,8,0,1,5,0.1875
82,2,117,11,0,1,10,0.46875
83,3,54,9,0,1,3,0.1875
84,0,96,14,0,1,3,0.15625
85,1,94,9,0,1,4,0.21875
86,2,104,12,0,1,8,0.40625
87,3,47,6,0,1,6,0.21875
88,0,88,10,0,1,7,0.25
89,1,86,7,0,1,6,0.25
90,2,93,12,0,1,8,0.34375
91,3,39,6,0,1,5,0.25
92,0,76,9,0,1,7,0.375
93,1,79,7,0,1,6,0.21875
94,2,79,10,0,1,10,0.4375
95,3,31,6,0,1,5,0.25
96,0,66,7,0,1,8,0.3125
97,1,69,7,0,1,6,0.3125
98,2,63,8,0,1,12,0.5
99,3,24,8,0,1,3,0.21875
100,0,56,8,0,1,6,0.3125
101,1,62,9,0,1,4,0.21875
102,2,50,12,0,1,5,0.40625
103,3,18,8,0,1,2,0.1875
104,0,49,9,0,1,5,0.21875
105,1,54,8,0,1,4,0.25
106,2,42,10,0,1,6,0.25
107,3,15,7,0,1,2,0.09375
108,0,40,9,0,1,5,0.28125
109,1,47,7,0,1,5,0.21875
110,2,33,9,0,1,4,0.28125
111,3,13,7,0,0,3,0.0625
112,0,32,8,0,1,2,0.25
113,1,40,9,0,1,2,0.21875
114,2,24,4,0,1,6,0.28125
115,3,5,7,0,0,1,0.25
116,0,29,6,0,1,1,0.09375
117,1,35,7,0,1,4,0.15625
118,2,17,5,0,1,4,0.21875
119,3,4,5,1,0,0,0.03125
120,0,25,4,0,1,2,0.125
121,1,27,5,0,1,4,0.25
122,2,12,4,0,1,3,0.15625
123,3,4,5,1,0,0,0
124,0,21,6,0,0,7,0.125
125,1,21,5,0,1,3,0.1875
126,2,8,3,0,1,3,0.125
127,3,1,3,0,0,1,0.09375
128,0,12,9,0,0,3,0.28125
129,1,17,5,0,1,2,0.125
130,2,3,3,0,1,1,0.15625
131,3,0,2,0,0,0,0.03125
132,0,7,7,0,0,4,0.15625
133,1,14,4,0,1,1,0.09375
134,2,1,3,1,0,0,0.0625
135,0,3,7,0,0,1,0.125
136,1,13,4,0,1,1,0.03125
137,2,0,2,0,0,0,0.03125
138,0,0,5,0,0,0,0.09375
139,1,11,4,0,0,4,0.0625
140,1,6,3,0,0,4,0.15625
141,1,2,4,0,0,1,0.125
142,1,1,4,1,0,0,0.03125
143,1,1,3,1,0,0,0
144,1,1,3,1,0,0,0
145,1,1,3,1,0,0,0
146,1,0,2,0,0,0,0.03125
